Song_Name,Artists,YouTube_Link,ViewCount,Release
Twist And Shout - Remastered 2009,The Beatles,https://www.youtube.com/watch?v=2RicaUqd9Hg,91367554,1963.0
Saree Ke Fall Sa,"Nakash Aziz, Antara Mitra",https://www.youtube.com/watch?v=A04WawrDblo,92162268,2013.0
Sweet Caroline,Neil Diamond,https://www.youtube.com/watch?v=ty1dwBCR6D0,91914618,1969.0
Born in the U.S.A.,Bruce Springsteen,https://www.youtube.com/watch?v=EPhWR4d3FJQ,99144600,1984.0
Meherbaan,"Shilpa Rao, Ash King, Shekhar Ravjiani",https://www.youtube.com/watch?v=_JND3HuOmDM,101656193,2014.0
Mast Magan,"Arijit Singh, Chinmayi",https://www.youtube.com/watch?v=fXRvluHnjxE,134993135,2014.0
Call Me,Blondie,https://www.youtube.com/watch?v=o3hHsVtqNFQ,111063913,2004.0
Saadi Galli Aaja,"Rochak Kohli, Ayushmann Khurrana, Neeti Mohan",https://www.youtube.com/watch?v=cU3IO6Am65o,113051336,2013.0
Master of Puppets (Remastered),Metallica,https://www.youtube.com/watch?v=E0ozmU9cJDg,115223938,1986.0
Dilliwaali Girlfriend,"Arijit Singh, Sunidhi Chauhan",https://www.youtube.com/watch?v=1cDoRqPnCXU,120373784,2017.0
Ambarsariya,"Sona Mohapatra, Ram Sampath, Munna Dhiman",https://www.youtube.com/watch?v=9UDkYz64ehA,124190741,2013.0
Brown Eyed Girl,Van Morrison,https://www.youtube.com/watch?v=UfmkgQRmmeE,125104780,1967.0
Don't Go Breaking My Heart,"Elton John, Kiki Dee",https://www.youtube.com/watch?v=z0qW9P-uYfM,126270415,1975.0
Fast Car,Tracy Chapman,https://www.youtube.com/watch?v=AIOAlaACuv4,129654215,1988.0
Jeena Jeena,"Sachin-Jigar, Atif Aslam, Priya Saraiya",https://www.youtube.com/watch?v=zFdi834FiZ4,130970719,2014.0
Kill Bill,SZA,https://www.youtube.com/watch?v=MSRcC626prw,133873674,2022.0
Nagada Sang Dhol,"Sanjay Leela Bhansali, Shreya Ghoshal, Osman Mir, Siddharth - Garima",https://www.youtube.com/watch?v=3X7x4Ye-tqo,135816146,2013.0
Immigrant Song - Remaster,Led Zeppelin,https://www.youtube.com/watch?v=y8OtzJtp-EM,137047425,1970.0
Jiya Re,"A.R. Rahman, Neeti Mohan, Gulzar",https://www.youtube.com/watch?v=smn3mDBOUy4,139541824,2012.0
Space Oddity - 2015 Remaster,David Bowie,https://www.youtube.com/watch?v=iYYRH4apXDo,144334139,1969.0
(Sittin' On) the Dock of the Bay,Otis Redding,https://www.youtube.com/watch?v=rTVjnBo96Ug,146785370,1968.0
I Will Survive - Single Version,Gloria Gaynor,https://www.youtube.com/watch?v=6dYWe1c3OyU,147516556,1993.0
Come Together - Remastered 2009,The Beatles,https://www.youtube.com/watch?v=45cYwDMibGo,151911484,1969.0
Titli,"Vishal-Shekhar, Chinmayi, Gopi Sundar",https://www.youtube.com/watch?v=V8zXLMIjlcw,165547910,2013.0
Mr. Blue Sky,Electric Light Orchestra,https://www.youtube.com/watch?v=wuJIqmha2Hk,166526226,1977.0
Ik Vaari Aa,"Pritam, Arijit Singh, Amitabh Bhattacharya",https://www.youtube.com/watch?v=zXLgYBSdv74,171363370,2017.0
September,"Earth, Wind & Fire",https://www.youtube.com/watch?v=3cKtSlsYVEU,179700243,2018.0
House of the Rising Sun,The Animals,https://www.youtube.com/watch?v=N4bFqW_eu2I,184060690,1987.0
(I Can't Get No) Satisfaction - Mono,The Rolling Stones,https://www.youtube.com/watch?v=nrIPxlFzDi0,188568496,1965.0
Jhalla Wallah,"Amit Trivedi, Shreya Ghoshal, Kausar Munir",https://www.youtube.com/watch?v=fqjXS7X9_5s,193331635,2012.0
Dream On,Aerosmith,https://www.youtube.com/watch?v=89dGC8de0CA,193911081,1973.0
Radha,"Vishal-Shekhar, Shreya Ghoshal, Udit Narayan, Vishal Dadlani, Shekhar Ravjiani",https://www.youtube.com/watch?v=52deq20h6Q4,199369700,2012.0
With Or Without You,U2,https://www.youtube.com/watch?v=ujNeHIo7oTE,204145116,1987.0
Yaar Naa Miley,"Yo Yo Honey Singh, Jasmine Sandlas",https://www.youtube.com/watch?v=iMmKHLFZn10,204579263,2014.0
Let It Be - Remastered 2009,The Beatles,https://www.youtube.com/watch?v=QDYfEBY9NM4,206795283,1970.0
Dreams - 2004 Remaster,Fleetwood Mac,https://www.youtube.com/watch?v=5oWyMakvQew,210306734,1977.0
Fortunate Son,Creedence Clearwater Revival,https://www.youtube.com/watch?v=ZWijx_AgPiA,211557741,1969.0
Character Dheela,"Pritam, Neeraj Shridhar, Amrita Kak",https://www.youtube.com/watch?v=ruEQPQX90fI,212569548,2011.0
"Baby Doll (From ""Ragini Mms 2"")","Meet Bros Anjjan, Kanika Kapoor",https://www.youtube.com/watch?v=yP9KiFTyBks,225282795,2017.0
Riptide,Vance Joy,https://www.youtube.com/watch?v=lYoWuaw5nSk,230261143,2014.0
Subhanallah,"Pritam, Sreeram, Shilpa Rao",https://www.youtube.com/watch?v=QYO6AlxiRE4,242569316,2013.0
Tu Meri,"Vishal-Shekhar, Vishal Dadlani",https://www.youtube.com/watch?v=YAOIbHBEvi0,245976814,2014.0
Saans,"A.R. Rahman, Shreya Ghoshal, Mohit Chauhan, Gulzar",https://www.youtube.com/watch?v=VAt6TO2gdko,246016645,2012.0
"I'll Be Missing You (feat. Faith Evans, 112)","Diddy, Faith Evans, 112",https://www.youtube.com/watch?v=pNPf-aP-bsA,248448120,2004.0
Whole Lotta Love - 1990 Remaster,Led Zeppelin,https://www.youtube.com/watch?v=HQmmM_qwG4k,251339613,1969.0
Kashmir Main Tu Kanyakumari,"Vishal-Shekhar, Sunidhi Chauhan, Arijit Singh, Neeti Mohan",https://www.youtube.com/watch?v=dodDteh-m3Q,259756213,2013.0
All Along the Watchtower,Jimi Hendrix,https://www.youtube.com/watch?v=TLV4_xaYynY,265398578,1968.0
Cruel Summer,Taylor Swift,https://www.youtube.com/watch?v=ic8j13piAhQ,267130911,2019.0
"Tum Hi Ho Bandhu (From ""Cocktail"")","Neeraj Shridhar, Kavita Seth, Pritam",https://www.youtube.com/watch?v=o1RducJbUdc,271104326,2012.0
"Daaru Desi (From ""Cocktail"")","Benny Dayal, Shalmali Kholgade, Pritam",https://www.youtube.com/watch?v=o1RducJbUdc,271469052,2012.0
Jumme Ki Raat,"Mika Singh, Palak Muchhal, Himesh Reshammiya, Kumaar, Shabbir Ahmed",https://www.youtube.com/watch?v=dv_Qjzca56k,271524280,2014.0
Jailhouse Rock,Elvis Presley,https://www.youtube.com/watch?v=gj0Rz-uP4Mk,277018854,1958.0
House Of The Rising Sun,The Animals,https://www.youtube.com/watch?v=4-43lLKaqBQ,277464285,1964.0
Jump,Van Halen,https://www.youtube.com/watch?v=SwYN7mTi6HM,288014686,1996.0
We Are The Champions,Queen,https://www.youtube.com/watch?v=04854XqcfCY,288345550,1977.0
Piano Man,Billy Joel,https://www.youtube.com/watch?v=gxEPV4kolz0,288360570,2001.0
Lucid Dreams,Juice WRLD,https://www.youtube.com/watch?v=hHtv2XMZlKs,294939462,2018.0
Tune Maari Entriyaan,"Sohail Sen, Vishal Dadlani, KK, Neeti Mohan, Bappi Lahiri, Irshad Kamil",https://www.youtube.com/watch?v=2I3NgxDAiqE,297621922,2013.0
Subha Hone Na De,"Pritam, Mika Singh, Shefali Alvares",https://www.youtube.com/watch?v=Y7G-tYRzwYY,307472059,2011.0
Summer Of '69,Bryan Adams,https://www.youtube.com/watch?v=eFjjO_lhf9c,309273925,1984.0
"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma, Kunaal Vermaa",https://www.youtube.com/watch?v=KBIq11mNB0I,319576540,2020.0
Sooraj Dooba Hain,"Amaal Mallik, Arijit Singh, Aditi Singh Sharma, Kumaar",https://www.youtube.com/watch?v=nJZcbidTutE,324355562,2015.0
"Oh, Pretty Woman",Roy Orbison,https://www.youtube.com/watch?v=3KFvoDDs0XM,325570738,1962.0
Sadi Gali,"Lehmber Hussainpuri, Raj Shekhar",https://www.youtube.com/watch?v=w_HaezV0DqI,325600309,2011.0
Under the Bridge,Red Hot Chili Peppers,https://www.youtube.com/watch?v=GLvohMXgcBo,331814486,1991.0
"Tere Liye (From ""Prince"")","Atif Aslam, Shreya Ghoshal",https://www.youtube.com/watch?v=AlvUuGJccKs,336053620,2014.0
No Role Modelz,J. Cole,https://www.youtube.com/watch?v=8HBcV0MtAQg,337778955,2014.0
Tu Jaane Na,"Pritam, Atif Aslam",https://www.youtube.com/watch?v=P8PWN1OmZOA,341455871,2009.0
"High Rated Gabru (From ""Nawabzaade"")",Guru Randhawa,https://www.youtube.com/watch?v=DxCfhmYe-Cw,352316901,2018.0
"London Thumakda (From ""Queen"")","Labh Janjua, Sonu Kakkar, Neha Kakkar",https://www.youtube.com/watch?v=udra3Mfw2oo,356173862,2018.0
One Dance,"Drake, Wizkid, Kyla",https://www.youtube.com/watch?v=ki0Ocze98U8,361100965,2016.0
Tere Sang Yaara,"Atif Aslam, Manoj Muntashir",https://www.youtube.com/watch?v=gIOea2pgfIo,362603830,2016.0
Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",https://www.youtube.com/watch?v=H2f7MZaw3Yo,365632223,2014.0
"Lat Lag Gayee (From ""Race 2"")","Benny Dayal, Shalmali Kholgade",https://www.youtube.com/watch?v=KxCjVIFxZNo,369910033,2012.0
Manwa Laage,"Vishal-Shekhar, Shreya Ghoshal, Arijit Singh, Irshad Kamil",https://www.youtube.com/watch?v=d8IT-16kA8M,376237915,2014.0
Lose Yourself,Eminem,https://www.youtube.com/watch?v=xFYQQPAOz7Y,384627044,2014.0
Welcome to the Black Parade,My Chemical Romance,https://www.youtube.com/watch?v=RRKJiM9Njr8,394271282,2006.0
Don't You (Forget About Me) - Remastered 2001,Simple Minds,https://www.youtube.com/watch?v=CdqoNKCCt7A,395175958,2013.0
You Shook Me All Night Long,AC/DC,https://www.youtube.com/watch?v=Lo2qQmj0_h4,396332165,1980.0
Basket Case,Green Day,https://www.youtube.com/watch?v=NUTGr5t3MoY,397785529,1994.0
Sheila Ki Jawani,"Vishal-Shekhar, Sunidhi Chauhan, Vishal Dadlani",https://www.youtube.com/watch?v=ZTmF2v59CtI,402686909,2010.0
Watermelon Sugar,Harry Styles,https://www.youtube.com/watch?v=E07s5ZYygMg,414081309,2019.0
Sweater Weather,The Neighbourhood,https://www.youtube.com/watch?v=Ao81ziiXHhs,414418750,2013.0
Don't Stop Believin',Journey,https://www.youtube.com/watch?v=VcjzHMhBtf0,415686979,1981.0
Highway to Hell,AC/DC,https://www.youtube.com/watch?v=l482T0yNkeo,423651134,1979.0
You Give Love A Bad Name,Bon Jovi,https://www.youtube.com/watch?v=KrZHPOeOxQQ,428830690,1986.0
Hey Jude,The Beatles,https://www.youtube.com/watch?v=A_MjCqQoLLA,433719938,2006.0
Hey Jude - Remastered 2015,The Beatles,https://www.youtube.com/watch?v=A_MjCqQoLLA,433719938,2000.0
The Night We Met,Lord Huron,https://www.youtube.com/watch?v=KtlgYxa6BMU,442284085,2015.0
Don't Stop 'Til You Get Enough,Michael Jackson,https://www.youtube.com/watch?v=yURRmWtbTbo,453803215,1979.0
Balam Pichkari,"Pritam, Vishal Dadlani, Shalmali Kholgade",https://www.youtube.com/watch?v=0WtRNGubWGA,463385681,2013.0
"Tum Hi Ho (From ""Aashiqui 2"")",Arijit Singh,https://www.youtube.com/watch?v=Umqb9KENgmk,466232162,2019.0
Ishq Sufiyana (Male),"Vishal-Shekhar, Kamal Khan",https://www.youtube.com/watch?v=5RT6QMKJTjQ,480290298,2011.0
"Ghungroo (From ""War"")","Vishal-Shekhar, Arijit Singh, Shilpa Rao, Kumaar",https://www.youtube.com/watch?v=qFkNATtc3mc,487145545,2019.0
Badtameez Dil,"Pritam, Benny Dayal, Shefali Alvares",https://www.youtube.com/watch?v=II2EO3Nw4m0,491334092,2013.0
"Sunny Sunny (From ""Yaariyan"")","Yo Yo Honey Singh, Neha Kakkar",https://www.youtube.com/watch?v=MXJCnccDLA0,492336435,2018.0
Sultans Of Swing,Dire Straits,https://www.youtube.com/watch?v=h0ffIJ7ZO4U,494151321,1978.0
Wonderwall,Oasis,https://www.youtube.com/watch?v=bx1Bh8ZvH84,495939975,1995.0
Chikni Chameli,"Ajay-Atul, Shreya Ghoshal",https://www.youtube.com/watch?v=MQM7CNoAsBI,496154671,2011.0
Espresso,Sabrina Carpenter,https://www.youtube.com/watch?v=eVli-tstM5E,498373664,2024.0
"Galliyan (From ""Ek Villain"")",Ankit Tiwari,https://www.youtube.com/watch?v=FxAG_11PzCk,504695911,2017.0
Hotel California - 2013 Remaster,Eagles,https://www.youtube.com/watch?v=BciS5krYL80,517068014,1976.0
"Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")",Palak Muchhal,https://www.youtube.com/watch?v=atVof3pjT-I,519193708,2016.0
Nashe Si Chadh Gayi,"Arijit Singh, Caralisa Monteiro",https://www.youtube.com/watch?v=HoCwa6gnmM0,529792496,2019.0
"Tera Hone Laga Hoon (From ""Ajab Prem Ki Ghazab Kahani"")","Atif Aslam, Alisha Chinai",https://www.youtube.com/watch?v=rTuxUAuJRyY,529980309,2014.0
Die For You,The Weeknd,https://www.youtube.com/watch?v=YQ-qToZUybM,533177918,2016.0
Nothing Compares 2 U,Sinéad O'Connor,https://www.youtube.com/watch?v=0-EF60neguk,539740621,1990.0
All Star,Smash Mouth,https://www.youtube.com/watch?v=L_jWHffIx5E,541666277,1999.0
Wake Me Up Before You Go-Go,Wham!,https://www.youtube.com/watch?v=pIgZ7gMze7A,544718008,1984.0
Have You Ever Seen The Rain,Creedence Clearwater Revival,https://www.youtube.com/watch?v=u1V8YRJnr4Q,552316003,1970.0
Everybody Wants To Rule The World,Tears For Fears,https://www.youtube.com/watch?v=aGCdLKXNF3w,553020364,1985.0
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",https://www.youtube.com/watch?v=QU9c0053UAU,566483061,2023.0
Stand By Me,Ben E. King,https://www.youtube.com/watch?v=hwZNL7QVJjE,575414250,1962.0
Take Me To Church,Hozier,https://www.youtube.com/watch?v=MYSVMgRr6pw,582429199,2014.0
"Paint It, Black",The Rolling Stones,https://www.youtube.com/watch?v=O4irXQhgMqg,594346622,1966.0
"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",https://www.youtube.com/watch?v=JQbjS0_ZfJ0,608439533,2018.0
BIRDS OF A FEATHER,Billie Eilish,https://www.youtube.com/watch?v=V9PVRfjEBTI,617985053,2024.0
Main Tera Boyfriend,"Arijit Singh, Neha Kakkar, Meet Bros., Sourav Roy, Sohrabuddin, Kumaar, Jitendra Raghuvanshi",https://www.youtube.com/watch?v=FQS7i2z1CoA,619444830,2017.0
"Gerua (From ""Dilwale"")","Pritam, Arijit Singh, Antara Mitra",https://www.youtube.com/watch?v=AEIVhBS6baE,624609032,2015.0
Chammak Challo,"Vishal-Shekhar, Akon, Hamsika Iyer, Vishal Dadlani, Niranjan Iyengar",https://www.youtube.com/watch?v=oAVhUAaVCVQ,629663411,2011.0
We Will Rock You,Queen,https://www.youtube.com/watch?v=-tJYN-eG1zk,656351427,1977.0
Come As You Are,Nirvana,https://www.youtube.com/watch?v=vabnZ9-ex7o,657000453,1991.0
Welcome To The Jungle,Guns N' Roses,https://www.youtube.com/watch?v=o1tj2zJ2Wvg,661909483,1987.0
Iris,The Goo Goo Dolls,https://www.youtube.com/watch?v=NdYWuo9OFAw,680167675,1998.0
Another One Bites The Dust - Remastered 2011,Queen,https://www.youtube.com/watch?v=rY0WxgSXdEE,682735966,1980.0
Ae Dil Hai Mushkil Title Track,"Pritam, Arijit Singh",https://www.youtube.com/watch?v=6FURuLYrR_Q,683219952,2016.0
Killing Me Softly With His Song,"Fugees, Ms. Lauryn Hill",https://www.youtube.com/watch?v=oKOtzIo-uYw,733512517,1996.0
Don't Start Now,Dua Lipa,https://www.youtube.com/watch?v=oygrmJFKYZY,752268938,2020.0
Circles,Post Malone,https://www.youtube.com/watch?v=wXhTHyIgQ_U,765131093,2019.0
Seven Nation Army,The White Stripes,https://www.youtube.com/watch?v=0J2QdDbelmY,780914986,2003.0
I Wanna Be Yours,Arctic Monkeys,https://www.youtube.com/watch?v=nyuo9-OjNNg,796200930,2013.0
Hookah Bar,"Himesh Reshammiya, Vineet Singh, Aaman Trikha",https://www.youtube.com/watch?v=b4b1cMVZOUU,798935883,2012.0
"Jeene Laga Hoon (From ""Ramaiya Vastavaiya"")","Atif Aslam, Shreya Ghoshal",https://www.youtube.com/watch?v=qpIdoaaPa6U,821771593,2013.0
Beautiful Things,Benson Boone,https://www.youtube.com/watch?v=Oa_RSwwpPaA,843280265,2024.0
Heat Waves,Glass Animals,https://www.youtube.com/watch?v=mRD0-GxqHVo,848566795,2020.0
Shallow,"Lady Gaga, Bradley Cooper",https://www.youtube.com/watch?v=JPJjwHAIny4,853093326,2018.0
As It Was,Harry Styles,https://www.youtube.com/watch?v=H5v3kku4y6Q,889533095,2022.0
Paradise City,Guns N' Roses,https://www.youtube.com/watch?v=Rbm6GXllBiw,892997329,1987.0
Boulevard of Broken Dreams,Green Day,https://www.youtube.com/watch?v=Soa3gO7tL-c,905628887,2017.0
