ID,Song,Artist,Year,Weeks_in_Charts,Rank,YouTube_Link,ViewCount,Genre
0075,I Just Called To Say I Love You,Stevie Wonder,1984,26,1,https://www.youtube.com/watch?v=1bGOgY1CmiU,163000000.0,R&B
0076,Love Takes Time,Mariah Carey,1990,26,1,https://www.youtube.com/watch?v=FkDpwF6-QiA,104000000.0,Pop
0077,Sweet Dreams (Are Made Of This),Eurythmics,1983,26,1,https://www.youtube.com/watch?v=qeMFqkcPYcg,1191000000.0,Pop
0078,The Tide Is High,Blondie,1980,26,1,https://www.youtube.com/watch?v=u8CMsQ-p1ls,82000000.0,Pop
0079,Weak,SWV,1993,26,1,https://www.youtube.com/watch?v=976b8TPPFJU,111000000.0,R&B
0080,Another Brick In The Wall (Part II),Pink Floyd,1980,25,1,https://www.youtube.com/watch?v=krYK1jWz0Lo,79000000.0,Rock
0081,Beat It,Michael Jackson,1983,25,1,https://www.youtube.com/watch?v=oRdxUFDoQe0,1423000000.0,Pop
0082,Billie Jean,Michael Jackson,1983,25,1,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,2228000000.0,Pop
0083,Bump N' Grind,R. Kelly,1994,25,1,https://www.youtube.com/watch?v=s97Mb1TZqbU,67000000.0,R&B
0084,Call Me,Blondie,1980,25,1,https://www.youtube.com/watch?v=o3hHsVtqNFQ,124000000.0,Pop
0085,Down Under,Men At Work,1982,25,1,https://www.youtube.com/watch?v=XfR9iY5y94s,514000000.0,Pop
0086,Eye Of The Tiger,Survivor,1982,25,1,https://www.youtube.com/watch?v=btPJPFnesV4,1208000000.0,Rock
0087,Fantasy,Mariah Carey,1995,25,1,https://www.youtube.com/watch?v=qq09UkPRdFY,155000000.0,Pop
0088,Flashdance...What A Feeling,Irene Cara,1983,25,1,https://www.youtube.com/watch?v=ILWSp0m9G2U,162000000.0,R&B
0089,Genie In A Bottle,Christina Aguilera,1999,25,1,https://www.youtube.com/watch?v=kIDWgqDBNXA,370000000.0,Pop
0090,Ghostbusters,Ray Parker Jr.,1984,25,1,https://www.youtube.com/watch?v=TaV1r341wYk,121000000.0,R&B
0091,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,1990,25,1,https://www.youtube.com/watch?v=LaTGrV58wec,171000000.0,Pop
0092,Hold On,Wilson Phillips,1990,25,1,https://www.youtube.com/watch?v=uIbXvaE39wM,113000000.0,Pop
0093,If You Had My Love,Jennifer Lopez,1999,25,1,https://www.youtube.com/watch?v=lYfkl-HXfuU,215000000.0,Pop
0094,Informer,Snow,1993,25,1,https://www.youtube.com/watch?v=TSffz_bl6zo,68000000.0,Pop
0095,Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1983,25,1,https://www.youtube.com/watch?v=UaNGtgYwSsU,109000000.0,Pop
0096,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,1990,25,1,https://www.youtube.com/watch?v=k2C5TjS2sh4,994000000.0,Pop
0097,Need You Tonight,INXS,1987,25,1,https://www.youtube.com/watch?v=F93ywiGMDnQ,73000000.0,Rock
0098,Straight Up,Paula Abdul,1988,25,1,https://www.youtube.com/watch?v=El1kgCqD7Xk,72000000.0,Pop
0099,Against All Odds (Take A Look At Me Now),Phil Collins,1984,24,1,https://www.youtube.com/watch?v=wuvtoyVi7vY,74000000.0,Rock
0100,All Night Long (All Night),Lionel Richie,1983,24,1,https://www.youtube.com/watch?v=nqAvFx3NxUM,207000000.0,R&B
0101,Arthur's Theme (Best That You Can Do),Christopher Cross,1981,24,1,https://www.youtube.com/watch?v=wJ6zs2WSCjk,74000000.0,Pop
