Song_Name,Artists,YouTube_Link,ViewCount
"December, 1963 (Oh What a Night!)",The Four Seasons,,Error
The Lion Sleeps Tonight (Wimoweh),The Tokens,,Error
"Shout, Pts. 1 & 2",The Isley Brothers,,Error
Light My Fire,The Doors,,Error
Like a Rolling Stone,Bob Dylan,,Error
Fortunate Son,Creedence Clearwater Revival,,Error
Come Together - Remastered 2009,The Beatles,,Error
La Bamba - Single Version,Ritchie Valens,,Error
Bohemian Rhapsody,Queen,,Error
Hey Jude,The Beatles,,Error
Another One Bites The Dust - Remastered 2011,Queen,,Error
We Will Rock You,Queen,,Error
I'm a Believer,The Monkees,,Error
We Are The Champions,Queen,,Error
Back In Black,AC/DC,,Error
"Another Brick in the Wall, Pt. 2",Pink Floyd,,Error
House Of The Rising Sun,The Animals,,Error
Seven Nation Army,The White Stripes,,Error
Good Vibrations,The Beach Boys,,Error
The Final Countdown,Europe,,Error
Welcome To The Jungle,Guns N' Roses,,Error
Zombie,The Cranberries,,Error
Call Me,Blondie,,Error
Dream On,Aerosmith,,Error
In the End,Linkin Park,,Error
Mr. Brightside,The Killers,,Error
All Star,Smash Mouth,,Error
Yesterday - Remastered 2009,The Beatles,,Error
Don't Stop Me Now,Queen,,Error
Numb,Linkin Park,,Error
Jump,Van Halen,,Error
Smoke on the Water,Deep Purple,,Error
Under Pressure,"Queen, David Bowie",,Error
Pour Some Sugar On Me,Def Leppard,,Error
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,,Error
I Want To Break Free - Remastered 2011,Queen,,Error
I Love Rock 'N Roll,Joan Jett & the Blackhearts,,Error
Boulevard of Broken Dreams,Green Day,,Error
Thunderstruck,AC/DC,,Error
Californication,Red Hot Chili Peppers,,Error
Wouldn't It Be Nice,The Beach Boys,,Error
Feel Good Inc.,"Gorillaz, De La Soul",,Error
Enter Sandman (Remastered),Metallica,,Error
Nothing Else Matters (Remastered),Metallica,,Error
Bring Me To Life,Evanescence,,Error
Creep,Radiohead,,Error
Radioactive,Imagine Dragons,,Error
You Give Love A Bad Name,Bon Jovi,,Error
Dreams - 2004 Remaster,Fleetwood Mac,,Error
American Pie,Don McLean,,Error
Song 2,Blur,,Error
Master of Puppets (Remastered),Metallica,,Error
November Rain,Guns N' Roses,,Error
Twist And Shout - Remastered 2009,The Beatles,,Error
Come As You Are,Nirvana,,Error
Tutti Frutti,Little Richard,,Error
Believer,Imagine Dragons,,Error
What's Up?,4 Non Blondes,,Error
Mr. Blue Sky,Electric Light Orchestra,,Error
Paranoid - 2012 - Remaster,Black Sabbath,,Error
Free Bird,Lynyrd Skynyrd,,Error
Welcome to the Black Parade,My Chemical Romance,,Error
Chop Suey!,System Of A Down,,Error
Basket Case,Green Day,,Error
How You Remind Me,Nickelback,,Error
With Or Without You,U2,,Error
Immigrant Song - Remaster,Led Zeppelin,,Error
You Really Got Me,The Kinks,,Error
You Shook Me All Night Long,AC/DC,,Error
Space Oddity - 2015 Remaster,David Bowie,,Error
Paradise City,Guns N' Roses,,Error
Blinding Lights,The Weeknd,,Error
Shape of You,Ed Sheeran,,Error
Starboy,"The Weeknd, Daft Punk",,Error
Sweater Weather,The Neighbourhood,,Error
Someone You Loved,Lewis Capaldi,,Error
As It Was,Harry Styles,,Error
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",,Error
One Dance,"Drake, Wizkid, Kyla",,Error
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",,Error
Perfect,Ed Sheeran,,Error
Heat Waves,Glass Animals,,Error
lovely (with Khalid),"Billie Eilish, Khalid",,Error
Closer,"The Chainsmokers, Halsey",,Error
Now That You're Gone,Jd Kucharik,,Error
Say You Won't Let Go,James Arthur,,Error
I Wanna Be Yours,Arctic Monkeys,,Error
Used To Love,Maithili Raelle,,Error
Something Just Like This,"The Chainsmokers, Coldplay",,Error
The Night We Met,Lord Huron,,Error
Yellow,Coldplay,,Error
Riptide,Vance Joy,,Error
Bossa velha,SEHORE,,Error
Dance Monkey,Tones And I,,Error
Another Love,Tom Odell,,Error
rockstar,"Post Malone, 21 Savage",,Error
Take Me To Church,Hozier,,Error
Counting Stars,OneRepublic,,Error
BIRDS OF A FEATHER,Billie Eilish,,Error
Photograph,Ed Sheeran,,Error
The Sick,Bella Kay,,Error
Señorita,"Shawn Mendes, Camila Cabello",,Error
You Showed Me Love,"Terry Parks, The Heartfelt Digital Ensemble",,Error
Watermelon Sugar,Harry Styles,,Error
Cruel Summer,Taylor Swift,,Error
Die With A Smile,"Lady Gaga, Bruno Mars",,Error
Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",,Error
